Statistical profiling result from isolate-0x55934cebc000-29050-v8.log, (164934 ticks, 31979 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     79    0.0%    0.0%  JS: *walkUpdatePath /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/castUpdate.js:216:24
     78    0.0%    0.0%  Builtin: PerformPromiseThen
     78    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     77    0.0%    0.0%  JS: *resetId /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/objectId.js:281:17
     75    0.0%    0.0%  JS: *CommandOperation /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/command.js:13:16
     75    0.0%    0.0%  JS: *AbstractOperation /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/operation.js:25:16
     75    0.0%    0.0%  Builtin: FastCreateDataProperty
     74    0.0%    0.0%  Builtin: PromiseFulfillReactionJob
     73    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/kareem/index.js:190:29
     72    0.0%    0.0%  JS: *getElement /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:56:15
     72    0.0%    0.0%  JS: *OnDemandDocument /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:7:16
     72    0.0%    0.0%  Builtin: SuspendGeneratorBaseline
     72    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
     71    0.0%    0.0%  JS: *Document.$__set /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1674:37
     71    0.0%    0.0%  Builtin: DeleteProperty
     70    0.0%    0.0%  JS: *unenroll node:timers:77:18
     70    0.0%    0.0%  JS: *get node:internal/bootstrap/node:437:8
     70    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
     69    0.0%    0.0%  JS: *get isDead /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:169:15
     69    0.0%    0.0%  JS: *<anonymous> node:internal/validators:176:40
     66    0.0%    0.0%  JS: *exports.hasUserDefinedProperty /home/adrian/Brokeify/server/node_modules/mongoose/lib/utils.js:745:42
     66    0.0%    0.0%  Builtin: CreateObjectWithoutProperties
     65    0.0%    0.0%  JS: *updateSessionFromResponse /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:816:35
     65    0.0%    0.0%  JS: *onData /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_data.js:12:16
     65    0.0%    0.0%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/get.js:9:30
     65    0.0%    0.0%  JS: *applyWriteConcern /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/schema/applyWriteConcern.js:3:44
     65    0.0%    0.0%  Builtin: StoreIC
     65    0.0%    0.0%  Builtin: ObjectEntries
     64    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:541:23
     64    0.0%    0.0%  Builtin: CallApiCallbackOptimizedNoProfiling
     63    0.0%    0.0%  RegExp: ObjectI[dD]$
     63    0.0%    0.0%  Builtin: CallApiGetter
     62    0.0%    0.0%  JS: *toString node:buffer:834:46
     62    0.0%    0.0%  JS: *get node:internal/bootstrap/node:399:8
     62    0.0%    0.0%  JS: *castUpdate /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/castUpdate.js:49:37
     61    0.0%    0.0%  Builtin: KeyedLoadIC_PolymorphicName
     61    0.0%    0.0%  Builtin: AsyncGeneratorAwaitUncaught
     60    0.0%    0.0%  JS: *getsetOptions /home/adrian/Brokeify/server/node_modules/mongoose/lib/mongoose.js:248:48
     60    0.0%    0.0%  JS: *addListener node:events:610:58
     59    0.0%    0.0%  Builtin: RegExpMatchFast
     58    0.0%    0.0%  JS: *clone /home/adrian/Brokeify/server/node_modules/mquery/lib/utils.js:18:45
     58    0.0%    0.0%  Builtin: StringEqual
     57    0.0%    0.0%  JS: *get ok /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:116:11
     57    0.0%    0.0%  Builtin: WeakMapPrototypeHas
     56    0.0%    0.0%  JS: *sample file:///home/adrian/Brokeify/server/computation/simulator.js:14:22
     56    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
     55    0.0%    0.0%  JS: *SchemaBoolean.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/boolean.js:221:40
     55    0.0%    0.0%  Builtin: MapConstructor
     54    0.0%    0.0%  RegExp: ^\d+$
     54    0.0%    0.0%  JS: *_transform /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:470:15
     53    0.0%    0.0%  JS: *storeShard /home/adrian/Brokeify/server/node_modules/mongoose/lib/plugins/sharding.js:57:20
     53    0.0%    0.0%  JS: *SchemaArray.applyGetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/array.js:295:46
     53    0.0%    0.0%  JS: *Readable.on node:internal/streams/readable:1127:33
     53    0.0%    0.0%  JS: *Document.$toObject /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:3787:40
     53    0.0%    0.0%  Builtin: ProxyGetProperty
