Statistical profiling result from isolate-0x557c6d30e000-78503-v8.log, (213525 ticks, 43771 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    165    0.1%    0.1%  Builtin: ArrayIndexOfSmiOrObject
    165    0.1%    0.1%  Builtin: ArrayFrom
    163    0.1%    0.1%  JS: *get serverSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:80:22
    163    0.1%    0.1%  Builtin: StringIndexOf
    163    0.1%    0.1%  Builtin: AsyncFunctionAwaitCaught
    160    0.1%    0.1%  JS: *clone /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/clone.js:30:15
    159    0.1%    0.1%  JS: *writeCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection.js:371:23
    158    0.1%    0.1%  Builtin: ArrayIteratorPrototypeNext
    157    0.1%    0.1%  JS: *Socket._writeGeneric node:net:927:42
    156    0.1%    0.1%  JS: *Kareem.execPost /home/adrian/Brokeify/server/node_modules/kareem/index.js:175:37
    156    0.1%    0.1%  Builtin: CopyDataPropertiesWithExcludedPropertiesOnStack
    152    0.1%    0.1%  JS: *shardingPluginPostInit /home/adrian/Brokeify/server/node_modules/mongoose/lib/plugins/sharding.js:11:54
    152    0.1%    0.1%  JS: *Query.merge /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:2455:33
    151    0.1%    0.1%  JS: *cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/cast.js:36:31
    150    0.1%    0.1%  JS: *processWaitQueue /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/topology.js:563:26
    150    0.1%    0.1%  JS: *Document.$__init /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:679:38
    148    0.1%    0.1%  JS: *get batchSize /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:210:18
    147    0.1%    0.1%  JS: *findById /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:2100:35
    146    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:167:8
    145    0.1%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
    145    0.1%    0.1%  JS: *SchemaObjectId.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/objectId.js:227:41
    144    0.1%    0.1%  JS: *SchemaString.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/string.js:590:39
    142    0.1%    0.1%  JS: *serializeNumber /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3453:25
    142    0.1%    0.1%  JS: *resolveBSONOptions /home/adrian/Brokeify/server/node_modules/mongodb/lib/bson.js:61:28
    142    0.1%    0.1%  JS: *Readable.removeListener node:internal/streams/readable:1159:45
    142    0.1%    0.1%  JS: *Kareem.execPre /home/adrian/Brokeify/server/node_modules/kareem/index.js:35:36
    141    0.1%    0.1%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server.js:41:33
    140    0.1%    0.1%  Builtin: PromiseResolveThenableJob
    138    0.1%    0.1%  Builtin: StringFromCharCode
    138    0.1%    0.1%  Builtin: AsyncFunctionAwaitResolveClosure
    135    0.1%    0.1%  JS: *$set /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1037:40
    133    0.1%    0.1%  JS: *get ns /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/responses.js:175:11
    132    0.1%    0.1%  JS: *ClientSession /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:39:16
    132    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
    131    0.1%    0.1%  JS: *serializeObject /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:3583:25
    131    0.1%    0.1%  JS: *SchemaType.getDefault /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1171:43
    130    0.1%    0.1%  JS: *get /home/adrian/Brokeify/server/node_modules/mongoose/lib/types/array/index.js:86:18
    130    0.1%    0.1%  JS: *extractDocumentSequences /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:394:29
    124    0.1%    0.1%  JS: *get node:internal/bootstrap/node:437:8
    124    0.1%    0.1%  Builtin: PerformPromiseThen
    123    0.1%    0.1%  JS: *readPreferenceServers /home/adrian/Brokeify/server/node_modules/mongodb/lib/sdam/server_selection.js:196:42
    123    0.1%    0.1%  Builtin: SuspendGeneratorBaseline
    123    0.1%    0.1%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
    122    0.1%    0.1%  JS: *SchemaArray.cast /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/array.js:342:38
